hhid,cash,age35,schooling,male,nutrition
1,0,1,0,0,0.091
2,1,1,0,0,0.091
3,1,1,0,0,0.091
4,1,0,0,0,0.444
5,0,0,0,0,-1.241
6,0,0,0,0,0.669
7,0,1,0,0,0.091
8,1,1,1,0,0.895
9,0,0,0,1,-1.774
10,1,0,0,0,0.091
11,1,0,0,0,-0.743
12,1,1,0,0,-0.754
13,1,0,0,1,0.769
14,1,1,0,1,0.091
15,1,1,0,1,-0.918
16,0,1,0,1,0.895
17,1,0,0,1,-0.47
18,1,1,0,0,-0.02
19,0,1,0,0,-0.192
20,0,1,0,1,1.136
21,0,0,0,0,0.091
22,0,1,0,0,0.895
23,1,0,0,0,0.091
24,0,1,0,0,0.091
25,1,0,0,1,0.714
26,0,1,0,1,-0.242
27,1,0,0,0,0.895
28,0,1,0,0,0.091
29,0,0,0,1,0.091
30,0,1,0,0,-0.198
31,1,1,1,0,0.091
32,0,1,0,0,-0.42
33,1,0,0,0,0.091
34,1,1,0,0,0.091
35,0,1,1,0,1.698
36,1,0,1,1,-0.192
37,0,0,0,0,-1.599
38,1,1,0,0,0.895
39,0,0,0,0,0.091
40,1,0,0,0,0.091
41,1,1,0,0,0.895
42,0,0,0,1,0.895
43,0,1,0,0,-0.743
44,1,0,0,0,0.091
45,0,0,0,0,-0.192
46,1,0,0,1,-0.359
47,0,1,0,0,0.895
48,1,0,0,0,1.698
49,0,0,0,1,-2.868
50,0,0,0,0,0.895
51,0,0,0,0,0.091
52,1,0,0,0,0.091
53,0,1,0,1,0.895
54,0,0,0,1,-1.102
55,1,0,0,0,-0.584
56,0,0,0,0,1.136
57,0,1,1,0,0.091
58,1,1,0,0,-2.689
59,1,0,0,1,0.091
60,0,1,0,0,0.783
61,0,1,0,0,0.895
62,1,0,0,0,2.281
63,1,1,0,0,1.698
64,0,1,0,1,0.091
65,1,1,0,1,-0.375
66,1,0,0,1,-0.559
67,0,0,0,1,0.895
68,1,0,0,0,0.402
69,1,1,0,0,-0.192
70,1,1,0,1,1.136
71,0,1,0,1,0.091
72,0,1,0,0,0.091
73,1,1,0,0,0.895
74,1,0,1,1,-0.02
75,0,1,0,0,0.895
76,0,1,0,0,-0.359
77,1,0,0,0,-0.584
78,1,1,0,0,-0.275
79,1,0,0,0,-0.192
80,1,1,0,0,-0.314
81,0,1,0,0,0.895
82,0,1,0,1,0.528
83,1,0,0,0,0.091
84,0,0,0,0,-1.307
85,0,0,0,0,0.558
86,1,1,0,0,0.895
87,0,0,0,0,0.75
88,0,0,0,0,-0.093
89,1,0,0,0,0.091
90,0,1,0,0,1.698
91,1,0,0,0,-0.02
92,0,1,0,0,0.091
93,1,0,0,0,0.091
94,1,1,0,0,0.091
95,0,0,0,0,0.091
96,0,1,0,0,0.895
97,0,1,0,0,-0.02
98,0,0,0,0,0.091
99,0,0,0,1,0.895
100,1,1,0,0,0.091
101,0,0,0,1,0.005
102,0,1,1,1,1.698
103,0,0,0,0,-0.359
104,0,1,0,0,0.091
105,0,0,0,1,0.091
106,0,1,0,0,0.895
107,0,1,0,0,0.895
108,0,1,0,0,0.669
109,0,1,0,0,-0.597
110,0,1,1,1,0.444
111,1,0,0,0,-0.134
112,0,1,0,0,0.091
113,0,0,0,0,0.895
114,1,1,1,0,0.895
115,1,1,0,0,-0.924
116,1,0,0,0,0.091
117,1,0,0,0,-0.231
118,0,1,0,0,-0.192
119,0,0,0,1,1.136
120,0,0,0,1,-0.496
121,1,0,0,0,0.091
122,0,1,0,0,-0.382
123,1,1,0,0,0.895
124,0,0,0,0,0.421
125,1,0,0,0,-0.192
126,0,0,0,0,-1.738
127,1,0,0,1,-0.02
128,1,1,0,0,0.091
129,0,1,0,1,-0.47
130,1,1,0,0,0.669
131,1,1,0,0,0.091
132,1,0,0,0,0.091
133,1,0,0,1,-3.715
134,0,1,0,0,0.669
135,1,1,0,0,0.091
136,0,1,0,0,1.136
137,1,1,0,0,-0.131
138,1,0,0,1,0.895
139,1,0,0,0,0.585
140,0,1,0,0,0.384
141,0,1,0,0,0.528
142,1,0,0,1,0.895
143,0,0,0,0,-1.884
144,0,1,0,0,0.895
145,0,0,0,0,-0.543
146,1,0,0,0,-1.763
147,0,0,0,0,0.091
148,0,0,0,0,-1.829
149,0,1,0,0,0.091
150,0,1,0,0,0.45
151,1,0,0,0,-0.242
152,1,1,0,1,-0.359
153,1,0,0,1,-1.793
154,0,0,0,0,-0.754
155,1,1,0,1,1.698
156,0,0,0,0,-0.464
157,1,0,0,0,0.895
158,0,1,0,0,0.091
159,1,1,0,0,0.091
160,1,1,0,0,0.895
161,1,1,0,0,0.091
162,1,0,0,1,-0.198
163,1,0,0,0,0.19
164,0,1,0,0,0.091
165,1,0,0,0,-0.584
166,0,0,0,0,-3.291
167,0,0,0,0,-1.165
168,0,0,0,0,0.895
169,0,0,0,0,-0.192
170,0,0,0,0,0.091
171,1,1,1,0,-0.743
172,0,1,0,0,0.895
173,1,0,0,0,-0.81
174,0,0,0,0,0.895
175,1,0,0,1,2.465
176,1,1,0,1,0.091
177,0,0,0,0,-2.155
178,1,0,0,0,0.091
179,0,0,1,0,0.444
180,1,0,0,0,0.091
181,0,0,1,1,1.136
182,1,1,0,1,1.136
183,1,1,0,0,0.091
184,1,0,0,0,1.136
185,0,1,0,0,0.895
186,0,0,0,0,-2.227
187,1,0,0,0,-0.131
188,1,1,0,0,-0.292
189,0,0,0,0,0.091
190,1,1,0,1,0.895
191,1,1,0,0,0.895
192,1,1,0,1,0.895
193,1,0,0,1,0.895
194,0,0,0,0,-0.242
