hhid,cash,eligible,time,male,age35,schooling,nutrition
1,1,0,0,0,0,0,1.7097913
1,1,0,1,0,0,0,.039885584
2,1,0,0,0,1,0,.96155715
2,1,0,1,0,1,0,.039885584
3,1,0,0,0,1,0,-.032794926
3,1,0,1,0,1,0,-.22676605
4,1,0,0,0,0,0,.21332315
4,1,0,1,0,0,0,.039885584
5,1,0,0,1,1,0,.96155715
5,1,0,1,1,1,0,2.3663635
6,1,0,0,0,1,0,.030005489
6,1,0,1,0,1,0,.039885584
7,1,0,0,0,1,0,-.20405026
7,1,0,1,0,1,0,-1.5760504
8,1,0,0,1,1,0,-.15331215
8,1,0,1,1,1,0,-.99666929
9,1,0,0,1,1,0,-.032794926
9,1,0,1,1,1,0,-.22676605
10,1,0,0,0,1,0,-.032794926
10,1,0,1,0,1,0,2.3663635
11,1,0,0,0,1,0,1.3119712
11,1,0,1,0,1,0,.82658541
12,1,0,0,1,1,0,.31994545
12,1,0,1,1,1,0,-1.5405136
13,1,0,0,1,0,0,1.8961933
13,1,0,1,1,0,0,.67087066
14,1,0,0,0,1,0,.09047959
14,1,0,1,0,1,0,-1.4758353
15,1,0,0,0,1,0,-.12402276
15,1,0,1,0,1,0,-2.4314356
16,1,0,0,0,0,0,.21332315
16,1,0,1,0,0,0,.039885584
17,1,0,0,0,1,0,-.32987592
17,1,0,1,0,1,0,-1.1492028
18,1,0,0,0,1,1,1.1797786
18,1,0,1,0,1,1,1.0697988
19,1,0,0,0,1,0,.58561659
19,1,0,1,0,1,0,-.22676605
20,1,0,0,0,0,0,-1.2474838
20,1,0,1,0,0,0,.039885584
21,1,0,0,0,1,0,.21332315
21,1,0,1,0,1,0,.82658541
22,1,0,0,0,0,0,-.6446864
22,1,0,1,0,0,0,-.92936963
23,1,0,0,1,1,0,.96155715
23,1,0,1,1,1,0,1.6132852
24,1,0,0,0,1,0,-.41273692
24,1,0,1,0,1,0,.039885584
25,1,0,0,0,1,0,.96155715
25,1,0,1,0,1,0,.82658541
26,1,0,0,0,1,0,.21332315
26,1,0,1,0,1,0,-1.3330839
27,1,0,0,0,0,0,-2.2419987
27,1,0,1,0,0,0,-.74003482
28,1,0,0,1,1,0,-2.1482632
28,1,0,1,1,1,0,-.68901348
29,1,0,0,1,1,0,.21332315
29,1,0,1,1,1,0,.039885584
30,1,0,0,0,1,0,.21332315
30,1,0,1,0,1,0,.039885584
31,1,0,0,0,1,0,.13999511
31,1,0,1,0,1,0,.82658541
32,1,0,0,0,1,0,-.44973737
32,1,0,1,0,1,0,-.1675441
33,1,0,0,0,0,0,.21332315
33,1,0,1,0,0,0,.097686358
34,1,0,0,0,1,0,.21332315
34,1,0,1,0,1,0,.039885584
35,1,0,0,0,0,0,.21332315
35,1,0,1,0,0,0,.82658541
36,1,0,0,0,1,0,.21332315
36,1,0,1,0,1,0,-.19495793
37,1,0,0,1,1,0,.21332315
37,1,0,1,1,1,0,.039885584
38,1,0,0,0,0,1,-.62695694
38,1,0,1,0,0,1,-.67692399
39,1,0,0,0,1,0,-1.2474838
39,1,0,1,0,1,0,-.78177762
40,1,0,0,1,1,0,.21332315
40,1,0,1,1,1,0,.82658541
41,1,0,0,0,1,0,.21332315
41,1,0,1,0,1,0,-.22676605
42,1,0,0,0,1,0,-1.2474838
42,1,0,1,0,1,0,-.93197984
43,1,0,0,1,1,0,-.20405026
43,1,0,1,1,1,0,.039885584
